Time (s),SM Clock (MHz),DRAM Active,FP16 Active,FP32 Active,FP64 Active,Power (W)
0.10016274452209473,1410.0,0.0,0.0,0.0,0.0,83
0.9046485424041748,1410.0,0.0,0.0,0.0,0.0,82
1.694566011428833,765.0,0.035,0.0,0.001,0.0,45
2.4851784706115723,765.0,0.362,0.0,0.0,0.513,98
3.288057804107666,1365.0,0.773,0.0,0.0,0.116,226
4.104553461074829,1365.0,0.47,0.0,0.0,0.335,230
4.911850452423096,1365.0,0.466,0.0,0.0,0.354,231
5.72041654586792,1365.0,0.379,0.0,0.0,0.506,225
6.5341198444366455,1350.0,0.62,0.0,0.0,0.233,233
7.349649906158447,1365.0,0.379,0.0,0.0,0.505,224
8.166535139083862,1350.0,0.526,0.0,0.0,0.308,232
8.98696494102478,1365.0,0.597,0.0,0.0,0.241,231
9.806376457214355,1365.0,0.38,0.0,0.0,0.506,230
10.62427282333374,1365.0,0.378,0.0,0.0,0.506,223
11.429145336151123,1350.0,0.377,0.0,0.0,0.506,224
12.244301795959473,1365.0,0.375,0.0,0.0,0.508,232
13.057349443435669,1365.0,0.379,0.0,0.0,0.506,229
