Time (s),SM Clock (MHz),DRAM Active,FP16 Active,FP32 Active,FP64 Active,Power (W)
0.10018444061279297,1290.0,0.0,0.0,0.0,0.0,67
1.0014121532440186,1290.0,0.0,0.0,0.0,0.0,68
1.8002212047576904,1110.0,0.84,0.0,0.034,0.0,204
2.633049726486206,1110.0,0.84,0.0,0.034,0.0,204
3.4659979343414307,1110.0,0.84,0.0,0.035,0.0,204
4.296160459518433,1080.0,0.84,0.0,0.036,0.0,196
5.128342866897583,1050.0,0.84,0.0,0.036,0.0,194
5.9606428146362305,1065.0,0.84,0.0,0.035,0.0,200
6.789632320404053,1095.0,0.84,0.0,0.035,0.0,202
7.625109910964966,1095.0,0.84,0.0,0.036,0.0,202
8.458460569381714,1065.0,0.84,0.0,0.036,0.0,195
9.291101455688477,1035.0,0.84,0.0,0.035,0.0,195
10.118789911270142,1050.0,0.84,0.0,0.034,0.0,203
10.951284885406494,1410.0,0.003,0.0,0.0,0.0,85
