Time (s),GPU 0 Power (W)
0.10028433799743652,47.08
0.24838733673095703,46.98
0.39812660217285156,41.86
0.544849157333374,41.08
0.6790907382965088,41.28
0.8249824047088623,46.29
0.9775481224060059,46.98
1.1060032844543457,46.98
1.2395811080932617,40.77
1.4098284244537354,40.67
1.5595319271087646,41.19
1.7107877731323242,46.48
1.86777663230896,46.48
2.01474666595459,41.08
2.1438188552856445,40.67
2.2742953300476074,41.19
2.4277164936065674,41.48
2.61159348487854,46.89
2.777313232421875,46.79
2.9044647216796875,41.17
3.0332388877868652,41.19
3.177253007888794,41.19
3.309602737426758,46.19
3.4643797874450684,46.89
3.5991785526275635,46.89
3.7478275299072266,41.19
3.8979973793029785,41.08
4.029338121414185,41.38
4.161228895187378,41.48
4.317502021789551,46.89
4.450385570526123,43.25
4.58070182800293,41.19
4.712441444396973,41.08
4.8457419872283936,41.08
4.979690074920654,41.08
5.110508680343628,46.89
5.265271186828613,46.88
5.417033910751343,41.08
5.551503419876099,41.08
5.68265962600708,41.08
5.813540697097778,45.11
5.981876850128174,47.18
6.115813970565796,47.08
6.2534472942352295,41.48
6.402512788772583,41.47
6.533955097198486,124.51
6.666270732879639,132.12
6.79942512512207,133.55
6.95795464515686,133.75
7.09265923500061,132.31
7.223052024841309,132.41
7.3613903522491455,41.58
7.509220361709595,41.38
7.658706188201904,47.18
7.807423114776611,47.08
7.941191673278809,42.64
8.06932783126831,40.88
8.20121145248413,41.17
8.334559917449951,41.28
8.465698480606079,46.48
8.595966577529907,46.39
8.731412172317505,46.29
8.88485336303711,40.77
9.014838218688965,40.78
9.146972417831421,40.98
9.277636289596558,46.29
9.4214346408844,46.39
9.54989218711853,46.89
9.679752826690674,41.08
9.832574367523193,41.18
9.968434572219849,40.67
10.116208791732788,42.65
10.25198221206665,46.89
10.404630661010742,41.87
10.541087627410889,41.07
10.67563509941101,41.17
10.826460123062134,41.08
10.959017515182495,41.38
11.098312616348267,46.39
11.232630968093872,46.89
11.384328365325928,40.78
11.511664628982544,40.88
11.643382549285889,40.78
11.775291681289673,46.1
11.928709745407104,46.39
12.061622619628906,46.29
12.206969261169434,41.08
12.339256286621094,40.67
12.469772100448608,40.78
12.613141536712646,41.17
12.7464017868042,46.29
12.879335880279541,42.84
13.030134201049805,41.28
13.196643590927124,40.67
13.331563949584961,40.78
13.461727380752563,42.54
13.599355697631836,46.88
13.77066683769226,47.08
13.898566961288452,41.27
14.030242681503296,41.08
14.162073612213135,40.88
14.296625852584839,129.57
14.43381643295288,133.26
14.571269750595093,129.57
14.723238468170166,129.67
14.857859134674072,132.18
15.003928899765015,132.31
15.131221294403076,42.84
15.307512283325195,47.96
15.46585202217102,44.32
15.597880840301514,40.98
15.745753765106201,41.08
15.877965688705444,41.08
16.008544921875,46.39
16.141440868377686,46.89
16.308807373046875,41.17
16.45793604850769,41.17
16.590243339538574,41.48
16.721036672592163,40.77
16.870015144348145,46.29
17.00687599182129,46.89
17.166466236114502,40.88
17.314831495285034,40.78
17.4809410572052,41.27
17.624871730804443,44.9
17.77613854408264,46.39
17.90954875946045,46.29
18.03878402709961,40.88
18.168816328048706,40.88
18.31948494911194,40.67
18.45020079612732,41.08
18.58762550354004,46.79
18.76419425010681,43.73
18.913776636123657,41.27
19.045449256896973,40.67
19.175970315933228,41.19
19.322071313858032,46.19
19.469415426254272,46.29
19.60110378265381,41.58
19.750155925750732,40.88
19.922471523284912,40.88
20.069689750671387,41.19
20.202239990234375,46.29
20.35409116744995,46.29
20.51345729827881,41.48
20.63936495780945,40.77
20.771458864212036,40.58
20.905256271362305,42.54
21.056983709335327,46.69
21.204246520996094,46.79
21.358567476272583,40.98
21.510486125946045,41.38
21.642111778259277,41.77
21.774367570877075,42.25
21.956300735473633,133.16
22.090161323547363,129.67
22.266207218170166,129.57
22.411147356033325,132.22
22.540122747421265,132.27
22.6720130443573,46.0
22.815158128738403,47.28
22.95004940032959,41.66
23.082091569900513,41.38
23.212912559509277,41.28
23.34552550315857,41.38
23.477197885513306,43.04
23.637649297714233,46.88
23.786017894744873,46.89
23.912662982940674,41.28
24.046587228775024,41.08
24.177306175231934,41.08
24.309341430664062,41.17
24.47545862197876,46.79
24.605517864227295,46.89
24.741179704666138,41.38
24.88701629638672,41.19
25.017924785614014,41.17
25.14846920967102,42.54
25.29399538040161,46.78
25.425766229629517,46.79
25.58527183532715,41.17
25.716498374938965,41.08
25.850095987319946,41.96
25.987080097198486,40.67
26.11828923225403,46.1
26.270676136016846,46.69
26.400267601013184,40.78
26.548940420150757,40.58
26.680906057357788,40.69
26.813846111297607,40.69
26.95069432258606,41.28
27.08591103553772,46.79
27.251962900161743,40.69
27.397722005844116,40.48
27.54149293899536,40.88
27.693878173828125,41.86
27.84893774986267,46.79
27.985276460647583,46.79
28.116339206695557,40.67
28.249229431152344,40.78
28.380918264389038,40.77
28.52917790412903,46.19
28.70191526412964,46.69
28.851577281951904,46.79
28.982956171035767,40.98
29.11392116546631,40.98
29.24467444419861,40.88
29.377924919128418,119.0
29.533600091934204,132.96
29.667180061340332,133.1
29.835906744003296,132.02
29.985591650009155,129.57
30.119001150131226,132.12
30.251555681228638,46.89
30.412075996398926,48.27
30.54798936843872,46.98
30.692907333374023,40.58
30.824016094207764,40.48
30.9950008392334,40.58
31.123664379119873,41.28
31.27583336830139,46.78
31.414583444595337,42.25
31.565556049346924,40.88
31.6967830657959,40.48
