Time (s),GPU 0 Power (W)
0.10017800331115723,46.39
0.2594621181488037,54.33
0.4108154773712158,54.75
0.5548067092895508,46.58
0.6862483024597168,46.89
0.8159315586090088,46.28
0.946434497833252,46.48
1.0789802074432373,53.18
1.2103185653686523,54.64
1.3577444553375244,46.69
1.5062942504882812,46.48
1.6374528408050537,46.39
1.7667181491851807,46.48
1.8980977535247803,54.56
2.0467724800109863,54.64
2.1851377487182617,47.17
2.316493272781372,46.48
2.4827229976654053,47.47
2.6265146732330322,49.24
2.7722198963165283,54.54
2.903268575668335,47.56
3.0311336517333984,46.38
3.1619529724121094,46.48
3.2902424335479736,46.78
3.421513080596924,48.55
3.5783121585845947,54.56
3.728276491165161,50.63
3.8739802837371826,46.78
4.004485368728638,47.27
4.1340415477752686,46.38
4.262118339538574,47.46
4.399003267288208,55.12
4.533891677856445,54.64
4.662559747695923,46.48
4.793248891830444,46.69
4.9429638385772705,46.78
5.086599349975586,46.98
5.225230693817139,54.56
5.376995325088501,54.54
5.506982803344727,46.78
5.631418228149414,46.58
5.761094570159912,46.58
5.889391660690308,53.86
6.0625269412994385,55.23
6.208744287490845,54.64
6.338989496231079,46.58
6.482958793640137,46.58
6.611213207244873,46.88
6.7443366050720215,51.99
6.880178928375244,54.64
7.010270118713379,54.65
7.1393280029296875,46.58
7.28725266456604,46.48
7.418078899383545,46.98
7.5491673946380615,49.03
7.700869798660278,54.65
7.870383024215698,47.28
8.001139402389526,46.67
8.131500720977783,46.48
8.261835813522339,46.58
8.413640022277832,54.64
8.565746068954468,55.12
8.69579029083252,50.31
8.821233987808228,46.58
8.95009469985962,46.67
9.07904052734375,46.68
9.209142446517944,46.58
9.359968662261963,55.23
9.504433870315552,46.58
9.669941663742065,46.48
9.800790309906006,46.67
9.92919135093689,46.48
10.078652143478394,54.25
10.213853120803833,54.54
10.344719171524048,46.48
10.474348068237305,46.48
10.605543375015259,46.78
10.769620418548584,46.39
10.917919397354126,54.15
11.067665338516235,54.64
11.202225923538208,47.26
11.331549644470215,47.37
11.46093463897705,46.48
11.589991092681885,46.69
11.718155860900879,54.64
11.881692171096802,54.54
12.017463207244873,47.08
12.144761323928833,46.58
12.294037103652954,46.39
12.423675537109375,46.58
12.554843425750732,54.54
12.688926935195923,54.54
12.821556568145752,46.98
12.949622392654419,46.48
13.098093032836914,46.48
13.247270584106445,48.65
13.418741941452026,54.74
13.552369356155396,54.54
13.681589365005493,46.58
13.810280323028564,46.58
13.935530185699463,46.48
14.077337265014648,48.74
14.247711896896362,54.64
14.381850481033325,54.64
14.530725002288818,46.58
14.661638021469116,46.88
14.78990626335144,46.58
14.921062231063843,46.48
15.069944620132446,54.54
15.201739072799683,54.53
15.371985912322998,46.58
15.518026113510132,46.69
15.648684740066528,46.58
15.775373458862305,52.18
15.91096544265747,54.54
16.04147744178772,54.65
16.16501784324646,47.76
16.296087980270386,46.48
16.423941373825073,46.69
16.585225820541382,48.46
16.746217489242554,54.54
16.87965154647827,50.12
17.010443687438965,46.48
17.13995361328125,46.48
17.270559787750244,47.08
17.401275157928467,46.58
17.52923059463501,54.54
17.660493850708008,52.88
17.82528853416443,46.69
17.95417022705078,46.69
18.08418345451355,46.69
18.213881254196167,46.59
18.342767000198364,54.54
18.486361742019653,54.56
18.62035608291626,46.59
18.749107360839844,46.78
18.91509771347046,46.58
19.042601108551025,46.69
