Time (s),GPU 0 Power (W)
0.10021066665649414,84.37
0.2521021366119385,84.47
0.3988759517669678,77.24
0.5263354778289795,71.42
0.6544747352600098,71.24
0.8020195960998535,70.67
0.9322991371154785,82.6
1.0635473728179932,83.28
1.2297108173370361,71.14
1.3933277130126953,70.67
1.521108627319336,70.38
1.666121006011963,70.36
1.8073418140411377,81.8
1.933617353439331,83.09
2.062748432159424,70.48
2.192972183227539,71.14
2.322089910507202,70.27
2.4692325592041016,70.06
2.6334383487701416,83.18
2.7894978523254395,149.42
2.9307186603546143,149.63
3.0805230140686035,152.36
3.2167093753814697,150.31
3.349769353866577,150.52
3.5124917030334473,153.45
3.6495778560638428,146.55
3.8027892112731934,149.87
3.93169903755188,152.08
4.086407899856567,153.01
4.225732088088989,148.55
4.381390571594238,148.06
4.522681951522827,150.81
4.670746088027954,144.01
4.814881801605225,149.63
4.970054864883423,152.62
5.121894359588623,152.17
5.263679504394531,145.42
5.416565656661987,145.37
5.572699069976807,146.4
5.724051475524902,144.1
5.859192609786987,152.86
5.992953538894653,150.76
6.168499231338501,151.98
6.306368350982666,144.68
6.4365763664245605,147.42
6.569921493530273,148.55
6.705456733703613,144.4
6.853063106536865,149.57
6.995325326919556,150.65
7.135822534561157,149.53
7.308471202850342,146.99
7.443101167678833,146.79
7.593933343887329,144.4
7.734115362167358,147.48
7.882516622543335,150.91
8.02082347869873,150.52
8.159709692001343,152.86
8.296879053115845,144.49
8.432483434677124,149.93
8.584222555160522,150.51
8.742740631103516,145.91
8.89713716506958,151.2
9.029899835586548,150.57
9.163421392440796,150.03
9.311280012130737,147.18
9.44771409034729,150.02
9.59867811203003,147.82
9.756368160247803,147.08
9.911948680877686,147.68
10.046809911727905,153.26
10.193480968475342,150.31
10.335329055786133,145.97
10.479633331298828,149.15
10.661128997802734,150.32
10.800084829330444,144.4
10.961904287338257,149.72
11.098071575164795,153.05
11.260138750076294,148.84
11.421751976013184,147.96
11.557611227035522,150.12
11.692272186279297,149.92
11.83049726486206,147.13
11.970038890838623,149.82
12.134085178375244,151.64
12.271703958511353,148.86
12.406354665756226,150.71
12.541738748550415,150.07
12.675623416900635,150.01
12.815474271774292,147.08
12.985801219940186,151.53
13.127630233764648,151.53
13.297507286071777,145.37
13.44547414779663,149.96
13.59818172454834,151.24
13.729731321334839,148.79
13.875092267990112,149.15
14.017497301101685,148.25
14.152240991592407,150.81
14.307372570037842,147.58
14.435628652572632,150.01
14.586931467056274,153.34
14.752787590026855,149.04
14.902917385101318,148.45
15.053564548492432,150.95
15.186545610427856,149.82
15.321253538131714,147.32
15.455717086791992,81.71
