Time (s),GPU 0 Power (W)
0.10018062591552734,36.24
0.2527425289154053,36.13
0.4032723903656006,39.3
0.5442245006561279,40.48
0.6790311336517334,36.44
0.8106324672698975,36.14
0.9599664211273193,36.14
1.1070525646209717,36.13
1.2551891803741455,40.58
1.428330421447754,40.38
1.5866496562957764,36.13
1.734825611114502,36.14
1.8681282997131348,36.24
1.9984402656555176,36.14
2.130587100982666,39.88
2.2786431312561035,40.48
2.416517734527588,36.44
2.588346004486084,36.13
2.718475580215454,36.14
2.862217664718628,36.24
2.9954090118408203,40.58
3.145848512649536,40.48
3.2880945205688477,36.34
3.418557643890381,36.14
3.5517735481262207,36.34
3.7191524505615234,36.73
3.8725016117095947,40.38
4.042717695236206,39.88
4.186193466186523,36.34
4.3148863315582275,36.14
4.446115970611572,36.14
4.578676223754883,36.24
4.716372728347778,40.38
4.869304180145264,40.48
4.998868227005005,36.14
5.1296916007995605,36.03
5.259509563446045,36.14
5.389665126800537,38.01
5.562763690948486,40.38
5.696247339248657,37.71
5.825179576873779,36.14
5.995299339294434,36.13
6.138299942016602,36.14
6.275010108947754,37.32
6.415555953979492,40.38
6.568606615066528,39.2
6.697431325912476,36.13
6.866398096084595,36.13
6.998615741729736,36.14
7.146866798400879,40.19
7.30246114730835,40.38
7.436199188232422,36.14
7.56854772567749,36.14
7.699749231338501,36.24
7.820664167404175,36.14
7.943479537963867,36.63
8.083538293838501,40.38
8.254389524459839,40.58
8.399435758590698,36.34
8.531438827514648,36.14
8.667326927185059,36.04
8.799122333526611,36.14
8.926190614700317,40.48
9.058591842651367,40.38
9.18879771232605,36.14
9.337238788604736,36.14
9.508229732513428,37.02
9.641266345977783,39.01
9.77978229522705,40.28
9.923662185668945,36.63
10.054438829421997,36.14
10.200384616851807,36.14
10.328326940536499,36.14
10.458195686340332,36.03
10.64716362953186,40.38
10.797036409378052,40.38
10.925916910171509,36.14
11.057171821594238,36.14
11.186782360076904,36.14
11.318577527999878,37.12
11.4568772315979,40.38
11.587164878845215,38.31
11.751505136489868,36.14
11.88139796257019,36.13
12.010771989822388,36.24
12.142563104629517,36.34
12.273508787155151,40.48
12.412002563476562,40.48
12.549083948135376,36.13
12.679583549499512,36.14
12.810057640075684,36.14
12.978449583053589,36.14
13.108779668807983,40.28
13.247124433517456,40.28
13.385711669921875,36.14
13.516195058822632,36.14
13.648961067199707,36.24
13.778445959091187,36.14
13.911453485488892,40.48
14.069027423858643,40.38
14.227494955062866,36.14
14.397440671920776,36.03
14.52921438217163,36.34
14.658093690872192,36.53
14.81384539604187,40.28
14.948178052902222,39.1
15.090025901794434,36.14
15.260554313659668,36.04
15.410748481750488,36.03
15.556307315826416,40.09
15.693702459335327,40.38
15.82409930229187,40.38
15.954638957977295,36.24
16.085601091384888,36.14
16.21473526954651,36.14
16.344741582870483,36.73
16.528406143188477,40.48
16.65121030807495,40.38
16.794097661972046,36.14
16.926104068756104,36.15
17.056407928466797,36.14
17.187193632125854,36.14
17.318238258361816,39.99
17.469347953796387,40.38
17.628392696380615,36.14
17.758664846420288,36.15
17.890949010849,36.14
18.022202730178833,36.14
18.15443992614746,40.38
18.293124675750732,40.28
18.44357681274414,37.81
18.576300859451294,36.14
18.746243000030518,36.34
18.89032292366028,36.04
19.02219295501709,40.38
19.15373659133911,40.28
19.28352952003479,36.14
19.414055824279785,36.14
19.547492265701294,36.14
19.678651571273804,36.14
19.809435844421387,38.81
19.986151456832886,40.28
20.120808124542236,36.34
20.250420331954956,36.53
20.396523475646973,36.14
20.52591848373413,36.14
20.656821966171265,36.83
20.796699047088623,40.28
20.927009344100952,40.28
21.0567843914032,36.03
21.211159229278564,36.14
21.357419729232788,36.14
21.479867696762085,40.09
21.619000673294067,40.28
21.752803802490234,40.48
21.882396697998047,36.14
22.0283305644989,36.14
22.17518377304077,36.73
22.303343772888184,36.63
22.465075731277466,40.28
22.603620290756226,40.28
22.756341218948364,36.14
22.88602113723755,36.14
23.01824140548706,36.14
23.149335861206055,36.14
23.291483879089355,40.28
23.46433687210083,40.28
23.59205389022827,36.03
23.722458124160767,36.03
23.86857795715332,36.14
23.999306201934814,39.59
24.1360981464386,40.38
24.271753787994385,40.28
24.402058124542236,36.14
24.547927856445312,36.13
24.677932024002075,36.24
24.809330463409424,36.63
24.966771841049194,40.28
25.094834804534912,39.3
25.240097999572754,36.03
25.370479822158813,36.15
25.501636266708374,36.14
25.63525652885437,36.14
25.767021894454956,40.28
25.89886474609375,40.38
26.03500509262085,36.14
26.180357217788696,36.14
26.331093788146973,36.03
26.46185040473938,36.24
26.595336437225342,40.38
26.727550983428955,40.28
26.90970206260681,36.14
27.07405686378479,36.03
27.203279972076416,36.03
27.37052083015442,36.44
27.50769019126892,40.28
27.632715463638306,40.28
27.765292167663574,36.14
27.894769191741943,36.24
28.03876781463623,36.14
28.16801643371582,38.41
28.35870862007141,40.28
28.4910671710968,40.38
28.619699716567993,36.14
28.750359535217285,36.14
28.88126850128174,36.24
29.010623931884766,36.83
29.137838125228882,40.28
29.293967723846436,40.28
29.45109272003174,36.24
29.621066093444824,36.13
29.75432562828064,36.03
29.885698795318604,36.24
30.01641535758972,40.28
30.148412227630615,40.28
30.314056634902954,36.03
30.48256778717041,36.14
30.6136474609375,36.34
30.743645906448364,37.52
30.8758761882782,40.28
31.01229763031006,40.28
31.1492702960968,36.14
31.299691438674927,36.14
31.443612098693848,36.14
31.608121156692505,40.09
31.76436448097229,40.28
31.899462699890137,40.28
32.05072855949402,36.14
32.18227934837341,36.14
32.351306676864624,35.94
32.480388164520264,36.63
32.6202073097229,40.28
32.77655029296875,40.28
32.906954526901245,36.14
33.03839564323425,36.14
33.17046236991882,36.24
33.30170702934265,39.98
33.464529037475586,40.28
33.59614276885986,40.28
33.72675609588623,36.14
33.89100980758667,36.14
34.02164697647095,36.24
34.15194797515869,37.22
34.30294680595398,40.28
34.43783473968506,37.62
34.58306694030762,36.03
34.714763164520264,36.14
34.8460054397583,36.14
34.99173188209534,36.14
35.15595054626465,40.28
35.28673076629639,40.28
35.434669971466064,36.34
35.56814956665039,36.14
35.6990921497345,36.14
35.83050537109375,36.14
35.9850914478302,40.28
36.118287801742554,40.28
36.2675347328186,36.14
36.41167116165161,36.14
36.54428148269653,36.34
36.67482590675354,37.02
36.83566761016846,40.28
36.96679878234863,40.28
37.117735385894775,36.14
37.24515724182129,36.14
37.39598608016968,36.14
37.56493425369263,40.09
37.720969915390015,40.28
37.87911295890808,36.24
38.008744955062866,36.14
38.140806436538696,36.14
38.31119084358215,36.14
38.4431893825531,40.28
38.607996702194214,40.19
38.74560737609863,36.63
38.87567377090454,36.14
39.00686597824097,36.14
39.13896298408508,36.14
39.27171087265015,40.38
39.41973543167114,40.48
39.5553138256073,36.44
39.72237014770508,36.44
39.86936902999878,36.53
40.02016544342041,36.53
40.153743267059326,40.38
40.29244112968445,40.69
40.43101644515991,36.73
40.565120458602905,36.73
40.69636106491089,36.63
40.86748003959656,38.71
41.030088901519775,40.78
41.16382312774658,37.81
41.30726671218872,36.63
41.439523220062256,36.53
41.575690031051636,36.73
41.7070209980011,38.1
41.87065386772156,40.88
42.03582835197449,41.07
42.169063329696655,37.31
42.30397915840149,89.82
42.43805146217346,107.36
42.568400144577026,67.81
42.73228049278259,41.66
42.86934494972229,36.83
43.021639347076416,37.52
43.189435720443726,40.69
