Time (s),GPU 0 Power (W)
0.10017871856689453,49.81
0.24619412422180176,51.12
0.37825822830200195,60.15
0.5094475746154785,60.25
0.647660493850708,50.02
0.7942521572113037,49.92
0.9500281810760498,50.41
1.0698165893554688,52.48
1.193204402923584,60.14
1.3639178276062012,51.2
1.507655143737793,49.83
1.6382412910461426,50.52
1.7671661376953125,49.92
1.8952653408050537,53.07
2.0281620025634766,60.14
2.15948748588562,55.03
2.309778928756714,50.91
2.472651720046997,50.02
2.601701498031616,50.02
2.73036527633667,60.06
2.8807904720306396,60.24
3.0130083560943604,60.06
3.1430842876434326,50.42
3.2719688415527344,50.02
3.4034886360168457,50.01
3.5325369834899902,60.06
3.678236246109009,60.14
3.808600664138794,60.06
3.9747447967529297,50.02
4.106545925140381,50.02
4.235020160675049,50.02
4.36743950843811,59.75
4.500796318054199,60.15
4.6304285526275635,60.82
4.757483005523682,50.01
4.918926477432251,49.83
5.042381763458252,50.02
5.207966089248657,59.45
5.337799310684204,60.15
5.486831188201904,50.12
5.615509986877441,50.1
5.762926340103149,50.1
5.892221689224243,50.12
6.036911487579346,54.44
6.168619394302368,60.14
6.297717571258545,50.21
6.431041955947876,50.02
6.559446096420288,50.52
6.687573432922363,50.12
6.8204498291015625,55.33
6.970504283905029,60.14
7.141162872314453,50.41
7.283192873001099,50.02
7.4128148555755615,49.92
7.543544292449951,50.12
7.690737962722778,60.72
7.839270830154419,60.15
7.977576017379761,50.12
8.106715679168701,49.92
8.27264142036438,51.3
8.401463031768799,53.38
8.54387617111206,60.06
8.691027164459229,54.43
8.819092512130737,49.92
8.947633743286133,50.12
9.075363636016846,51.21
9.204414367675781,50.22
9.32907748222351,60.06
9.499878644943237,60.15
9.62576413154602,50.12
9.755168437957764,50.12
9.883016586303711,50.31
10.01151967048645,50.02
10.140195608139038,59.66
10.273015022277832,60.14
10.399786472320557,50.1
10.532109260559082,49.92
10.679962873458862,50.63
10.810289144515991,50.02
10.963308811187744,59.37
11.11134123802185,60.14
11.244720458984375,50.22
11.372225046157837,50.31
11.504106283187866,50.12
11.635835886001587,50.22
11.778610706329346,54.14
11.909937858581543,60.92
12.041436195373535,51.12
12.208236694335938,50.12
12.33838152885437,50.41
12.469120025634766,50.63
12.603140830993652,60.15
12.731882572174072,60.15
12.861546039581299,50.51
13.002460479736328,50.12
13.172976016998291,50.62
13.30244493484497,50.62
13.476401090621948,60.15
13.62377142906189,50.73
13.75618863105774,49.92
13.88608169555664,50.21
14.017287731170654,50.02
14.161929607391357,51.1
14.299171447753906,60.92
14.432868957519531,51.49
14.564207553863525,50.22
14.694396495819092,50.22
14.823198795318604,50.63
14.950958251953125,53.38
15.092360973358154,60.15
15.262039422988892,56.8
15.406025171279907,51.21
15.534624576568604,50.1
15.683412313461304,50.22
15.808844327926636,50.62
15.937964677810669,60.15
16.074808597564697,60.82
16.204906463623047,50.92
16.334785223007202,49.81
16.48471212387085,50.12
16.61650824546814,59.17
16.754987478256226,60.15
16.885149002075195,60.15
17.014622688293457,50.82
17.142716884613037,50.02
17.271574020385742,50.22
17.400739669799805,56.41
17.572906494140625,60.15
17.721670150756836,60.15
17.846806287765503,50.1
17.97590184211731,50.12
18.108158111572266,50.02
18.27485418319702,52.09
18.410202741622925,60.14
18.54251194000244,52.67
18.69044804573059,50.52
18.859001636505127,50.22
18.987385034561157,50.01
19.11536192893982,60.14
19.26745343208313,60.82
19.401121854782104,55.14
19.548045873641968,50.22
19.678239345550537,50.6
19.822618007659912,50.12
19.971120595932007,59.96
20.10083532333374,60.24
20.245076894760132,50.81
20.376107931137085,50.02
20.5045382976532,50.12
20.634971380233765,51.69
20.764200925827026,59.16
20.91174626350403,60.92
21.056819915771484,50.1
21.222870588302612,51.31
21.372586488723755,50.01
21.50043511390686,50.73
21.64261031150818,60.92
21.79218554496765,61.01
21.92672038078308,51.2
22.054797649383545,50.02
22.22384738922119,50.31
22.367836713790894,51.59
22.520556449890137,60.24
22.65209460258484,53.17
22.782634496688843,50.82
22.910807371139526,50.31
23.038893222808838,50.52
23.168869972229004,52.77
23.298514127731323,60.06
23.445777416229248,57.1
23.579522371292114,50.4
23.704970359802246,50.3
23.834132432937622,50.31
23.962964057922363,50.01
24.09354543685913,60.62
24.2409610748291,60.92
24.406736135482788,50.91
24.576703548431396,50.12
24.708161115646362,50.7
24.838518619537354,50.82
24.974929809570312,60.92
25.103373050689697,60.92
25.230957508087158,51.0
25.377792596817017,50.82
25.50670886039734,50.73
25.63123607635498,54.83
25.81200861930847,60.92
25.959937810897827,51.3
26.105910778045654,50.3
26.234870433807373,50.31
26.36625576019287,51.1
26.494898557662964,50.82
26.6438627243042,60.25
26.77595090866089,51.3
26.920762300491333,50.82
27.045350313186646,50.42
27.17427921295166,51.0
27.30265474319458,52.77
27.457685232162476,61.22
27.589913606643677,52.48
27.720643758773804,51.49
27.852898359298706,50.91
27.987016677856445,51.39
28.136868238449097,53.57
28.304957628250122,61.51
28.451709270477295,54.74
28.580965280532837,51.39
28.728147983551025,50.31
28.86031675338745,50.41
28.993375539779663,223.38
29.13042378425598,205.58
29.29037642478943,61.01
