Time (s),GPU 0 Power (W)
0.10019469261169434,51.2
0.24091720581054688,60.92
0.38672733306884766,61.01
0.5180838108062744,61.11
0.6492335796356201,52.57
0.7803053855895996,51.2
0.9125030040740967,51.2
1.0420353412628174,51.2
1.1753637790679932,61.01
1.3252904415130615,61.01
1.4740424156188965,51.1
1.6026787757873535,51.21
1.7491207122802734,51.49
1.8767139911651611,60.72
2.004601001739502,61.01
2.1337807178497314,61.01
2.264892101287842,51.49
2.394568920135498,51.2
2.536983013153076,51.1
2.667193651199341,59.17
2.8141231536865234,61.01
2.9443752765655518,61.01
3.06938099861145,51.39
3.1973578929901123,51.1
3.327544689178467,50.41
3.458139657974243,57.59
3.6304092407226562,61.01
3.798243999481201,50.82
3.9264841079711914,50.63
4.058197736740112,50.62
4.1910247802734375,50.63
4.322299242019653,56.32
4.470672607421875,61.01
4.600924491882324,50.91
4.729253768920898,50.51
4.894572496414185,50.63
5.02614951133728,50.63
5.193090438842773,61.01
5.321953296661377,60.92
5.476580619812012,51.02
5.605396032333374,50.52
5.733234167098999,50.63
5.863875865936279,50.51
6.008837938308716,60.72
6.14298152923584,61.01
6.27327823638916,61.01
6.401378631591797,50.42
6.53001594543457,50.52
6.6549232006073,50.73
6.784905910491943,59.75
6.937154531478882,61.01
7.078429698944092,50.52
7.225467920303345,50.52
7.353579759597778,50.22
7.481474161148071,51.69
7.611276388168335,54.44
7.761155605316162,61.01
7.889732599258423,51.2
8.017688751220703,50.41
8.145524978637695,50.52
8.290253639221191,50.73
8.437824249267578,52.48
8.588650226593018,61.12
8.721741199493408,52.09
8.849181652069092,50.51
8.980022668838501,50.81
9.10895323753357,50.63
9.23729395866394,52.28
9.37438678741455,61.01
9.538210153579712,53.86
9.664761543273926,50.6
9.79436182975769,50.71
9.961432456970215,50.62
10.0944664478302,61.12
10.249125480651855,61.01
10.380472660064697,53.17
10.509057998657227,50.71
10.657674074172974,50.71
10.78620195388794,50.71
10.91910433769226,60.92
11.054171800613403,61.12
11.181728601455688,61.01
11.308556079864502,50.71
11.437287330627441,50.63
11.565235137939453,50.52
11.694749593734741,60.43
11.860298156738281,61.01
11.990264415740967,61.01
12.120741128921509,50.73
12.250223159790039,50.62
12.381474733352661,50.71
12.529338359832764,59.75
12.682172536849976,61.01
12.814190149307251,50.82
12.957870960235596,50.62
13.085166692733765,50.71
13.213603973388672,50.82
13.383591175079346,56.8
13.529401540756226,61.01
13.679150581359863,50.92
13.808949708938599,51.12
13.93742060661316,50.42
14.087713956832886,50.81
14.220081806182861,61.11
14.370005130767822,61.11
14.502312660217285,51.1
14.63452672958374,50.62
14.766447067260742,50.71
