Time (s),GPU 0 Power (W)
0.10018301010131836,45.01
0.25228428840637207,45.51
0.4137449264526367,48.86
0.5555481910705566,48.66
0.6868031024932861,44.62
0.8182387351989746,45.89
0.9570088386535645,176.8
1.0976881980895996,179.05
1.289792776107788,179.93
1.428307056427002,180.21
1.5855519771575928,179.64
1.735525369644165,179.54
1.8696448802947998,179.73
2.0219502449035645,180.42
2.1841983795166016,180.65
2.348889112472534,180.21
2.484403371810913,180.13
2.6219732761383057,180.02
2.770392656326294,180.21
2.9202914237976074,181.01
3.083064317703247,181.09
3.23572039604187,180.31
3.3893954753875732,180.31
3.5428524017333984,180.21
3.6909518241882324,180.02
3.8271231651306152,181.39
3.982863187789917,181.39
4.121181011199951,180.8
4.276369571685791,180.71
4.431414842605591,180.41
4.567593574523926,180.71
4.7234272956848145,180.61
4.873915195465088,181.34
5.033614873886108,180.61
5.187122344970703,180.5
5.32289457321167,180.61
5.460714340209961,180.71
5.595879077911377,180.71
5.763761043548584,181.6
5.924903631210327,181.68
6.062338590621948,181.1
6.216102600097656,180.71
6.368568658828735,180.8
6.523269891738892,181.62
6.693723440170288,181.98
6.834040641784668,181.62
6.987093210220337,181.01
7.1392529010772705,180.65
7.275417327880859,180.9
7.453850507736206,181.43
7.613726854324341,181.78
7.747114181518555,181.14
7.881791353225708,180.61
8.034062147140503,181.3
8.182867050170898,181.3
8.33554744720459,181.68
8.49519658088684,181.72
8.630738258361816,181.19
8.783068895339966,181.09
8.923943281173706,180.8
9.069833993911743,181.39
9.20557451248169,182.02
9.379065990447998,181.6
9.548147439956665,181.1
9.683760166168213,181.34
9.818334579467773,180.8
9.9569730758667,181.1
10.144704818725586,181.83
10.288423538208008,182.02
10.44310736656189,181.39
10.57503867149353,47.57
10.81835412979126,46.49
