Time (s),GPU 0 Power (W)
0.10016894340515137,60.64
0.24100899696350098,60.43
0.4056854248046875,72.9
0.5313670635223389,72.97
0.6513502597808838,61.03
0.7901632785797119,61.51
0.9117295742034912,60.62
1.0325920581817627,60.53
1.1531214714050293,72.8
1.2997360229492188,72.88
1.4473071098327637,60.62
1.5950851440429688,60.64
1.7432563304901123,60.64
1.8916378021240234,72.61
2.0399343967437744,72.88
2.1733720302581787,72.9
2.300132989883423,60.62
2.4487690925598145,60.62
2.573835849761963,60.72
2.7234652042388916,72.61
2.8478071689605713,72.8
2.982576608657837,60.74
3.1508333683013916,60.64
3.281798839569092,61.41
3.42946457862854,60.76
3.5551891326904297,67.51
3.7024996280670166,72.8
3.831103563308716,60.93
3.974966526031494,60.64
4.103681564331055,61.72
4.232726573944092,60.43
4.363927125930786,61.51
4.492280006408691,72.8
4.623122215270996,61.82
4.771116256713867,60.62
4.8992531299591064,60.82
5.027919292449951,60.62
5.156433820724487,62.9
5.301556348800659,72.7
5.434184312820435,62.4
5.562578201293945,60.64
5.70689582824707,61.03
5.8369433879852295,60.62
5.97890830039978,63.28
6.107598781585693,72.7
6.238654375076294,62.99
6.370124816894531,60.33
6.499776840209961,60.82
6.627480983734131,60.25
6.755602836608887,64.96
6.900982141494751,72.7
7.051232099533081,66.54
7.2001893520355225,60.74
7.344979524612427,60.64
7.474777698516846,60.53
7.602756023406982,72.51
7.774267911911011,72.7
7.902742147445679,71.03
8.031086444854736,61.51
8.151711463928223,60.62
8.294962644577026,60.76
8.424895524978638,72.51
8.568636417388916,72.7
8.6965012550354,72.68
8.82414436340332,61.11
8.954883098602295,60.64
9.080745697021484,60.66
9.209453582763672,60.54
9.34146785736084,72.61
9.484142065048218,72.7
9.609869003295898,60.53
9.737403154373169,61.12
9.866367816925049,60.54
9.99562668800354,60.33
10.162075757980347,72.61
10.292045831680298,72.7
10.421499490737915,60.64
10.585315704345703,60.45
10.715898513793945,60.64
10.846562385559082,69.64
10.996853590011597,72.7
11.126332759857178,72.61
11.259769678115845,60.72
11.389168977737427,60.66
11.516536474227905,60.64
11.648367881774902,63.59
11.799150228500366,72.7
11.92683744430542,72.61
12.055135011672974,60.72
12.183027744293213,60.54
12.332960844039917,60.72
12.46440052986145,63.49
12.625163078308105,72.51
12.756631135940552,64.96
12.922977209091187,60.56
13.091237783432007,60.54
13.219228506088257,60.64
13.348820686340332,72.41
13.492720603942871,72.61
13.623322010040283,72.7
13.752408504486084,61.8
