Time (s),GPU 0 Power (W)
0.1002347469329834,55.72
0.27115607261657715,64.97
0.4218785762786865,46.68
0.5559253692626953,67.73
0.701829195022583,46.58
0.8315451145172119,63.28
0.983726978302002,53.07
1.1185178756713867,77.42
1.2514069080352783,47.46
1.4296109676361084,42.25
1.5976638793945312,52.97
1.7857553958892822,49.03
1.9356861114501953,49.63
2.0674610137939453,62.79
2.1985151767730713,54.75
2.3331446647644043,55.71
2.4649412631988525,58.09
2.6368651390075684,54.94
2.802243709564209,68.37
2.9336585998535156,51.81
3.069124698638916,43.73
3.2014472484588623,80.03
3.3339123725891113,50.82
3.4778237342834473,50.41
3.6235082149505615,60.43
3.750973701477051,45.0
3.902498245239258,73.76
4.057309865951538,45.61
4.188245058059692,63.98
4.327545404434204,55.23
4.462012529373169,65.25
4.613292932510376,52.78
4.743489742279053,61.74
4.873850584030151,45.1
5.0252580642700195,63.7
5.205092191696167,51.31
5.354905843734741,72.91
5.485865592956543,44.33
5.614053010940552,62.01
5.746565580368042,44.9
5.878582954406738,56.91
6.031446218490601,56.9
6.163337469100952,56.41
6.299969673156738,43.73
6.445013761520386,55.82
6.593225717544556,44.13
6.721950531005859,76.41
6.893703460693359,55.14
7.033742666244507,50.21
7.165277004241943,59.37
7.29552149772644,45.51
7.440356492996216,63.67
7.604955196380615,116.65
7.768103122711182,51.3
7.924923658370972,50.21
8.05814790725708,61.9
8.188273429870605,48.46
8.324649333953857,57.21
8.456066608428955,99.07
8.59540581703186,54.15
8.731348514556885,50.42
8.897500276565552,66.64
9.045462131500244,44.71
9.175473928451538,64.27
9.306365489959717,118.02
9.446216106414795,82.55
9.578421354293823,48.55
9.70946455001831,51.21
9.840497016906738,68.17
9.97314977645874,53.78
10.119445323944092,67.73
10.278069019317627,93.97
10.413824081420898,55.04
10.565384149551392,46.39
10.695367336273193,64.76
10.825987339019775,46.1
10.957167387008667,60.37
11.101383447647095,118.31
11.255266904830933,55.93
11.424934387207031,49.34
11.556551218032837,53.76
11.689133644104004,45.71
11.824357986450195,59.67
11.975411653518677,70.64
12.107362031936646,78.34
12.241007328033447,51.5
12.372715473175049,48.84
12.536303520202637,67.98
12.667412996292114,45.61
12.806711435317993,66.44
12.959001064300537,111.75
13.0877845287323,48.16
13.220660209655762,45.41
13.351964950561523,47.87
13.501579523086548,48.74
13.652506113052368,70.93
13.822201490402222,107.88
13.971787691116333,48.64
14.104213237762451,49.92
14.236291408538818,54.06
14.385492324829102,50.63
14.53022313117981,61.72
14.662278652191162,65.56
14.790541648864746,119.23
14.920615673065186,49.82
15.069614171981812,47.18
15.202159881591797,71.53
15.3556809425354,49.73
15.505247592926025,58.09
15.63176417350769,91.88
15.763648986816406,104.42
15.889271974563599,46.87
16.022932529449463,46.89
16.175125122070312,47.08
16.330451726913452,41.19
16.461440563201904,41.28
16.59195327758789,43.54
16.724082231521606,41.19
16.856493949890137,42.05
16.99239730834961,46.48
17.12442660331726,44.61
17.270439386367798,41.08
17.401560306549072,42.06
17.544842004776,41.94
17.676323413848877,40.98
17.818692684173584,59.64
17.954295873641968,46.98
18.082226037979126,41.58
18.213278770446777,41.27
18.34530019760132,41.48
18.47726821899414,49.34
18.614702701568604,47.08
18.786296129226685,52.28
18.920488595962524,41.48
19.051152229309082,45.0
19.181780338287354,41.08
19.32605290412903,43.63
19.497283458709717,46.88
19.633910655975342,44.71
19.763701677322388,40.67
19.932738542556763,41.77
20.07670259475708,40.98
20.20820951461792,48.37
20.361674070358276,46.39
20.494041442871094,46.89
20.623087882995605,42.44
20.753848552703857,41.08
20.886669397354126,40.98
21.017097234725952,46.19
21.188678741455078,47.08
21.355809450149536,41.17
21.482085943222046,41.28
21.648674249649048,40.98
21.779139757156372,40.78
21.910048961639404,55.63
22.043473958969116,46.98
22.176662921905518,45.41
22.30472445487976,41.08
22.450908184051514,60.25
22.582805633544922,40.98
22.713610887527466,53.57
22.871686697006226,46.89
23.009576082229614,46.78
23.141705751419067,41.48
23.272701025009155,40.67
23.406764268875122,41.87
23.53737759590149,43.44
23.713518381118774,49.05
23.848164081573486,41.28
23.99382257461548,41.76
24.12315344810486,41.08
24.25498390197754,41.58
24.38500714302063,44.01
24.535211086273193,47.08
24.68585991859436,56.61
24.857279539108276,42.15
25.000679969787598,64.28
25.132550716400146,40.67
25.265543460845947,57.21
25.401211500167847,46.78
25.552857637405396,46.48
25.68272876739502,40.88
25.81386399269104,41.19
25.944002151489258,40.98
26.113682985305786,41.28
26.266939878463745,46.28
26.401160717010498,41.96
26.5302095413208,42.05
26.662796020507812,41.17
26.792755842208862,41.48
26.923974752426147,40.58
27.072942972183228,47.08
27.241792917251587,83.44
27.38994574546814,41.38
27.51935338973999,74.07
27.653330326080322,42.16
27.79779863357544,65.55
27.935126066207886,46.89
28.09012794494629,48.07
28.217047452926636,40.67
28.34753918647766,40.78
28.480855464935303,40.48
28.62920832633972,41.28
28.782166481018066,46.69
28.94869828224182,42.94
29.08131980895996,40.58
29.212748527526855,40.67
29.358521223068237,42.06
29.488784790039062,46.1
29.62535572052002,50.21
29.776342391967773,41.08
29.926546812057495,43.04
30.07721447944641,41.08
30.230234384536743,41.77
30.35794711112976,46.29
30.513193130493164,46.58
30.669475078582764,41.66
