Time (s),GPU 0 Power (W)
0.10018301010131836,42.94
0.2383406162261963,42.94
0.3866848945617676,50.02
0.5269038677215576,50.02
0.666179895401001,43.23
0.7929999828338623,43.05
0.9419879913330078,43.05
1.0899100303649902,43.43
1.2586455345153809,49.92
1.4121403694152832,50.02
1.5498497486114502,43.14
1.6984102725982666,43.34
1.8294932842254639,43.14
1.9585087299346924,43.15
2.1159133911132812,49.92
2.251095771789551,50.02
2.3955390453338623,43.15
2.543593168258667,43.04
2.686241865158081,43.15
2.817739725112915,46.0
2.960969924926758,50.02
3.113809108734131,43.62
3.2599332332611084,43.03
3.392371892929077,43.15
3.5228934288024902,43.04
3.67033052444458,43.82
3.8376388549804688,50.02
3.973010540008545,44.61
4.1012444496154785,43.33
4.2297515869140625,42.94
4.360134601593018,42.93
4.489988803863525,44.8
4.6198341846466064,50.02
4.791933298110962,46.19
4.935041427612305,43.04
5.064459800720215,43.04
5.23005747795105,43.34
5.3630595207214355,49.92
5.51439905166626,49.92
5.664055347442627,43.14
5.793366193771362,43.03
5.942188501358032,43.14
6.07239556312561,43.14
6.206609487533569,49.92
6.353724956512451,49.92
6.492086172103882,43.25
6.620245456695557,43.43
6.749811887741089,42.93
6.896679878234863,43.12
7.057403564453125,49.92
7.231643199920654,43.53
7.3611674308776855,43.14
7.491624116897583,42.93
7.621139049530029,43.23
7.750025510787964,43.83
7.917422294616699,49.92
8.049423933029175,46.0
8.19688367843628,43.14
8.34533953666687,43.03
8.474057912826538,43.14
8.622705459594727,49.83
8.767626762390137,49.92
8.898349285125732,49.92
9.04245924949646,43.04
9.172638893127441,43.03
9.304508686065674,43.05
9.456132650375366,49.13
9.590279340744019,49.83
9.727810621261597,49.92
9.853909492492676,43.05
9.99744439125061,43.05
10.126168251037598,43.15
10.25681185722351,48.74
10.392311573028564,49.92
10.565093278884888,43.23
10.7146897315979,43.15
10.844531774520874,43.34
10.97422742843628,42.75
11.105334281921387,46.1
11.258595705032349,49.92
11.392246723175049,43.53
11.523272037506104,42.64
11.68904161453247,42.75
11.85956072807312,44.71
11.989376544952393,49.34
12.139909505844116,49.34
12.277690887451172,43.05
12.403869867324829,42.75
12.535597562789917,43.23
12.66509747505188,43.93
12.806539058685303,50.12
12.978652715682983,50.31
13.132143020629883,43.62
13.263457536697388,43.53
13.39632773399353,43.03
13.534097909927368,43.62
13.6786630153656,50.21
13.827750444412231,50.21
13.95649242401123,43.62
14.106083393096924,43.43
14.234952211380005,43.53
14.36367392539978,48.16
14.516458988189697,49.53
14.686962604522705,43.63
14.816628456115723,43.34
14.94591498374939,43.23
15.09765362739563,42.74
15.24591875076294,49.92
15.42166543006897,49.53
15.55346417427063,46.39
15.68512749671936,43.43
15.814520835876465,43.33
15.947849750518799,43.53
16.078287363052368,49.44
16.237584590911865,49.92
16.39172124862671,43.33
16.518766403198242,43.25
16.64911723136902,42.75
16.779050827026367,44.42
16.912264347076416,49.34
17.0660138130188,49.44
17.197533130645752,43.43
17.322814464569092,43.43
17.492583990097046,43.72
17.623351335525513,43.53
17.7550048828125,44.9
17.891576290130615,70.93
18.02394986152649,45.51
18.156758785247803,43.43
18.286859035491943,43.72
18.419769525527954,43.43
18.552147388458252,44.61
18.710447311401367,50.12
18.839457511901855,50.12
18.986695051193237,43.82
19.118597507476807,43.43
19.24954104423523,43.53
19.37954592704773,49.53
19.54938244819641,50.12
19.686680555343628,43.53
19.854923725128174,43.44
20.00153398513794,43.73
20.134131908416748,43.34
20.266249895095825,43.82
20.40276598930359,50.12
20.539331436157227,44.32
20.671833515167236,43.43
20.80254292488098,43.33
20.96606731414795,43.54
21.095276832580566,51.8
21.24885869026184,51.78
21.403266429901123,50.63
21.5330970287323,43.14
21.663060426712036,47.17
