Time (s),GPU 0 Power (W)
0.1002044677734375,59.08
0.2450413703918457,71.32
0.39504456520080566,71.32
0.5410902500152588,60.56
0.670290470123291,59.48
0.7973873615264893,58.98
0.9441282749176025,59.17
1.0734155178070068,71.13
1.2030832767486572,71.22
1.3499560356140137,59.17
1.5172502994537354,59.17
1.6475508213043213,59.27
1.7742400169372559,59.47
1.9044296741485596,71.03
2.0327954292297363,71.22
2.1617672443389893,71.32
2.2924184799194336,58.98
2.4209330081939697,59.27
2.5716168880462646,59.08
2.737804889678955,71.03
2.881948232650757,71.32
3.0248541831970215,59.08
3.154905080795288,59.17
3.298597812652588,59.17
3.427938938140869,59.17
3.5554373264312744,69.37
3.703542709350586,71.12
3.8506226539611816,59.27
3.980437994003296,59.56
4.109443426132202,59.08
4.260355234146118,59.27
4.38898229598999,71.22
4.545016765594482,71.22
4.67341160774231,58.98
4.841698884963989,58.98
4.968287706375122,59.47
5.096514701843262,66.35
5.233597278594971,71.03
5.365893363952637,71.32
5.495877027511597,59.37
5.6242711544036865,58.98
5.752223968505859,59.08
5.880502223968506,60.94
6.026994466781616,71.03
6.198173522949219,192.07
6.327751159667969,189.53
6.470520496368408,124.56
6.613683223724365,60.27
6.741563320159912,62.1
6.892402648925781,72.32
7.022655010223389,61.53
7.184356927871704,60.07
7.312235593795776,59.08
7.461228370666504,62.4
7.634392499923706,71.32
7.779505252838135,71.32
7.91336464881897,59.47
8.043571949005127,59.17
8.185243129730225,59.17
8.354272365570068,59.08
8.507912874221802,71.22
8.638702154159546,71.32
8.76423716545105,59.37
8.912641525268555,59.56
9.040940761566162,59.08
9.169951915740967,59.27
9.337130546569824,71.22
9.46831202507019,71.22
9.613056659698486,59.96
9.742592096328735,59.08
9.904656410217285,59.27
10.03456449508667,70.14
10.177211046218872,71.12
10.30609130859375,71.22
10.434114217758179,58.98
10.577690839767456,59.17
10.747503519058228,59.17
10.8787100315094,68.29
11.002187252044678,71.22
11.145638704299927,59.37
11.275030612945557,58.98
11.40532112121582,59.37
11.533745765686035,59.08
11.665802001953125,59.77
11.81799030303955,71.13
11.970105648040771,60.07
12.093713998794556,59.17
12.222465753555298,59.67
12.355952501296997,193.57
12.494251251220703,180.74
12.642407178878784,72.61
12.77420949935913,71.72
12.905768394470215,59.67
13.073113679885864,60.06
13.20125961303711,59.96
13.351760149002075,66.35
13.500914812088013,72.12
13.62979793548584,60.17
13.77664589881897,59.98
13.904340267181396,59.87
14.032634973526001,59.77
14.180812358856201,61.61
14.352300643920898,72.02
14.517805576324463,60.83
14.646129131317139,59.76
14.788921117782593,59.87
14.917657613754272,59.87
15.045426607131958,71.72
15.17571759223938,71.82
15.307842254638672,66.73
15.449113845825195,60.27
15.576970100402832,59.85
15.710225343704224,59.56
15.873069047927856,71.53
16.00302791595459,71.92
16.13547658920288,60.84
16.28052067756653,59.58
16.430241584777832,59.96
16.596805572509766,59.87
16.745726823806763,70.93
16.87930178642273,72.12
17.014529705047607,59.96
17.14009380340576,59.77
17.270955562591553,59.77
17.398515462875366,59.87
17.52867865562439,64.07
17.662373065948486,71.93
17.806920289993286,60.27
17.93089246749878,59.87
18.062174797058105,59.56
18.204801082611084,59.77
18.333427667617798,196.29
18.48866319656372,168.58
18.62125873565674,65.65
18.749572277069092,59.87
18.916837215423584,59.67
19.044092655181885,59.66
19.173001766204834,71.42
19.299041509628296,71.43
19.448992490768433,60.92
19.598564624786377,59.58
19.74070119857788,59.67
19.87116551399231,61.71
20.000985383987427,71.32
20.1503849029541,71.13
20.285465717315674,59.27
20.415047883987427,59.17
20.544694423675537,59.27
20.675658464431763,59.77
20.820743083953857,71.13
20.95028066635132,71.22
21.08021354675293,59.87
21.20828342437744,59.27
21.361758708953857,59.67
21.49170184135437,59.37
21.637802600860596,71.22
21.809242486953735,70.54
21.935160636901855,59.47
22.063283920288086,60.54
22.211461782455444,59.27
22.36150074005127,68.29
22.521528005599976,71.13
22.651739358901978,71.22
22.780513763427734,60.27
22.908557415008545,59.27
23.03659677505493,59.37
23.166022300720215,59.37
23.294920206069946,71.22
23.42747974395752,71.13
23.557652473449707,60.27
23.70083999633789,59.47
23.828108549118042,59.27
23.956490755081177,59.37
24.0851469039917,71.13
24.235917806625366,71.22
24.370105028152466,193.18
24.498810052871704,161.35
24.629261255264282,63.28
24.761353731155396,60.64
24.90926432609558,71.22
25.06154727935791,71.42
25.191518545150757,71.42
25.316555500030518,59.58
25.444702625274658,59.56
25.57267665863037,59.67
25.721660614013672,70.83
25.872884035110474,71.42
26.02840495109558,59.67
26.152077198028564,59.47
26.281205654144287,59.37
26.40928292274475,59.66
26.537265062332153,69.06
26.687487602233887,71.32
26.82111144065857,59.56
26.94690442085266,59.56
27.07781744003296,59.56
27.22190022468567,59.27
27.350568532943726,67.9
27.49722981452942,71.12
27.646896839141846,59.77
27.77155876159668,59.47
27.901852130889893,59.77
28.032255172729492,59.37
28.160617113113403,65.65
28.32837224006653,71.32
28.480810165405273,59.66
28.62669014930725,59.47
28.757115840911865,59.47
28.885321378707886,59.37
29.01386857032776,71.22
29.14775276184082,71.32
29.27954339981079,59.95
29.40555191040039,59.87
29.553099155426025,59.56
29.70296335220337,59.56
29.83515167236328,71.03
30.003111362457275,71.13
30.149508714675903,59.27
30.279094219207764,214.8
30.432486295700073,192.58
30.561480045318604,144.77
30.728618383407593,71.92
30.861490726470947,72.51
30.99022340774536,60.27
31.120420217514038,60.15
31.270574808120728,60.15
31.400647163391113,60.24
31.547127723693848,72.02
31.681567192077637,72.02
31.8496732711792,60.06
31.997021675109863,60.17
32.14487147331238,60.17
32.274848222732544,70.93
32.404780626297,72.02
32.53447198867798,63.59
32.669475078582764,60.27
32.79760813713074,59.87
32.926305055618286,60.37
33.07337951660156,64.85
33.208704471588135,71.93
33.33808898925781,60.33
33.48057150840759,60.16
33.610108613967896,60.06
33.74008131027222,60.46
33.873875856399536,62.7
34.01018762588501,71.93
34.179240465164185,60.92
34.32124185562134,60.27
34.449764251708984,61.22
34.579164266586304,59.87
34.72075152397156,60.35
34.856372594833374,71.91
35.00587463378906,66.83
35.13785648345947,62.09
35.283488273620605,60.15
