Time (s),GPU 0 Power (W)
0.10016608238220215,51.0
0.2465987205505371,51.2
0.39734745025634766,61.22
0.5239431858062744,61.32
0.689208984375,51.69
0.8101520538330078,51.1
0.9528768062591553,51.2
1.0811920166015625,51.3
1.2515122890472412,61.12
1.4023079872131348,60.92
1.5330424308776855,51.12
1.6822865009307861,51.21
1.8262443542480469,51.1
1.9564952850341797,51.3
2.0935299396514893,61.32
2.224423408508301,61.22
2.37168025970459,51.29
2.5011045932769775,51.2
2.6293742656707764,51.21
2.756917953491211,51.31
2.918229579925537,61.22
3.049940824508667,61.22
3.1799328327178955,51.39
3.3082737922668457,51.2
3.4388139247894287,51.0
3.5846073627471924,51.39
3.7111024856567383,61.22
3.8448188304901123,61.32
3.9756081104278564,54.83
4.102556228637695,51.3
4.232054233551025,51.3
4.363265752792358,51.2
4.49379301071167,61.12
4.627997875213623,61.32
4.780289888381958,61.22
4.9076831340789795,51.3
5.036549091339111,51.2
5.180180311203003,51.39
5.3091676235198975,60.82
5.437835454940796,61.22
5.569894075393677,61.22
5.716491222381592,51.31
5.881427049636841,51.21
6.0093994140625,51.49
6.13673734664917,58.09
6.285129547119141,61.22
6.410749197006226,52.97
6.537240743637085,51.39
6.664830446243286,51.39
6.796474933624268,51.49
6.924649715423584,55.53
7.0703957080841064,70.64
7.244888544082642,63.09
7.372980356216431,51.49
7.502007722854614,51.39
7.634103059768677,51.3
7.766868829727173,51.39
7.897441625595093,61.12
8.031113147735596,61.22
8.176015615463257,51.49
8.325407981872559,52.09
8.453124523162842,51.3
8.581343173980713,60.92
8.754701137542725,62.0
8.883016586303711,62.0
9.00908637046814,52.18
9.137023210525513,51.2
9.26543664932251,51.88
9.412923574447632,52.09
9.550803184509277,61.32
9.683567523956299,62.09
9.813315153121948,52.18
9.941007852554321,51.39
10.069326400756836,51.39
10.197083711624146,51.39
10.324490308761597,61.22
10.470988035202026,61.41
10.597984790802002,51.88
10.72701621055603,53.47
10.860644102096558,51.39
10.988919258117676,51.39
11.134539604187012,61.32
11.269880294799805,61.32
11.399272680282593,54.24
11.52993369102478,51.2
