Time (s),GPU 0 Power (W)
0.10023093223571777,66.24
0.2494368553161621,66.24
0.37741637229919434,54.46
0.5279684066772461,54.35
0.6578495502471924,54.25
0.8055548667907715,63.98
0.9518215656280518,66.14
1.086042881011963,66.14
1.216325283050537,54.46
1.3663649559020996,54.25
1.5131237506866455,54.45
1.64292573928833,55.14
1.7944896221160889,66.14
1.9302608966827393,56.41
2.0772337913513184,54.43
2.206739664077759,54.56
2.338233232498169,54.15
2.5063185691833496,66.04
2.67199444770813,66.14
2.826275110244751,54.24
2.9713141918182373,54.44
3.1142961978912354,54.64
3.2579293251037598,54.25
3.387153148651123,65.36
3.5155811309814453,66.24
3.6664724349975586,54.15
3.793598175048828,54.54
3.9423956871032715,54.35
4.0717456340789795,54.35
4.218280792236328,58.09
4.352483749389648,66.24
4.484094619750977,54.56
4.616199731826782,54.64
4.747982025146484,54.45
4.877346515655518,54.46
5.026548624038696,66.14
5.174362421035767,66.14
5.328308820724487,58.19
5.456584453582764,54.33
5.585649251937866,54.35
5.757311582565308,54.33
5.891724586486816,66.04
6.022379398345947,66.14
6.153038501739502,54.43
6.281326532363892,54.33
6.428095579147339,54.43
6.580923795700073,54.33
6.7159104347229,65.46
6.866182804107666,66.23
7.0011937618255615,54.43
7.131077289581299,54.65
7.2599265575408936,54.35
7.3893702030181885,54.15
7.519790410995483,60.56
7.672231912612915,66.23
7.830843210220337,54.54
7.961862564086914,54.44
8.092559576034546,54.44
8.22236156463623,54.46
8.351410865783691,66.23
8.484561443328857,66.24
8.616550922393799,57.4
8.763083457946777,54.46
8.912712574005127,54.46
9.042444229125977,54.56
9.17383337020874,66.04
9.344810247421265,66.14
9.477023363113403,54.64
9.608932256698608,54.46
9.741091251373291,54.65
9.871116161346436,54.43
10.000751495361328,58.4
10.151356935501099,66.14
10.281387567520142,54.83
10.431772708892822,54.44
10.561958074569702,55.03
10.694972038269043,54.54
10.82545518875122,55.23
10.959566593170166,66.35
11.108349800109863,55.62
11.237979412078857,54.64
11.382913589477539,54.35
11.513975858688354,54.44
11.663273572921753,56.61
11.796461820602417,66.23
11.92957067489624,57.9
12.078775644302368,54.56
12.21021032333374,54.56
12.340804815292358,54.45
12.473482131958008,64.27
12.624863624572754,66.24
12.79623007774353,54.33
12.923434495925903,54.24
13.054888248443604,54.54
13.18555498123169,54.56
13.316084146499634,55.22
13.453966617584229,66.14
13.582433700561523,58.98
13.712032556533813,54.56
13.859464645385742,54.56
13.989238739013672,54.54
14.139938592910767,57.8
14.278326988220215,66.33
14.411474704742432,66.34
14.542266607284546,54.33
14.67373538017273,54.83
14.804391622543335,54.25
14.93390965461731,54.35
15.062922954559326,61.61
15.212777853012085,125.28
15.350659608840942,55.43
15.484488725662231,56.71
15.61585783958435,54.64
15.74727725982666,54.75
15.87691593170166,67.02
16.03352117538452,91.3
16.17068123817444,64.07
16.315933227539062,54.65
16.444578170776367,54.45
16.574815273284912,54.63
16.708831310272217,66.93
16.879384517669678,81.61
17.012309789657593,55.04
17.143455028533936,54.45
17.273771047592163,54.75
17.405158758163452,55.53
17.566919803619385,65.85
17.715027332305908,66.83
17.84931254386902,56.01
17.983484029769897,54.93
18.114912748336792,54.56
18.243632316589355,54.46
18.376352787017822,59.47
18.508216619491577,68.76
18.641467094421387,56.41
18.80889916419983,54.65
18.979119062423706,54.54
19.12836503982544,56.41
19.267377376556396,67.0
19.39730715751648,62.09
19.544002294540405,55.93
19.677090167999268,54.53
19.81054425239563,55.82
19.942046880722046,54.74
20.131858587265015,66.63
20.27872323989868,147.78
20.40669083595276,56.51
20.541792392730713,54.75
20.674347400665283,54.65
20.806723594665527,54.85
20.939740896224976,67.12
21.069655656814575,66.71
21.200389623641968,56.22
21.352412462234497,55.62
21.48425006866455,54.74
21.613754987716675,55.03
21.74453568458557,66.93
21.879478454589844,67.12
22.037211418151855,55.93
22.168241500854492,55.92
22.298593759536743,54.65
22.429734706878662,54.75
22.57920217514038,60.82
22.732001781463623,98.23
22.86546564102173,56.51
23.016345262527466,55.62
23.151688814163208,54.74
23.282769918441772,54.85
23.41237211227417,67.11
23.56753444671631,75.54
23.705442428588867,61.33
23.85529637336731,54.75
24.00298047065735,54.74
24.13271450996399,56.8
24.263567447662354,66.44
24.394516706466675,73.59
24.548434734344482,55.13
24.67951536178589,54.83
24.81012773513794,54.83
24.941220998764038,55.62
25.093242168426514,60.35
25.253077030181885,67.2
25.40619421005249,67.51
25.537959337234497,54.85
25.70867609977722,54.74
25.840429067611694,57.8
25.972558736801147,65.46
26.129627227783203,67.2
26.264034271240234,55.12
26.408445596694946,55.33
26.57797932624817,56.03
26.71369743347168,55.92
26.866259574890137,67.4
27.000489711761475,66.44
27.134077072143555,56.51
27.26077699661255,54.85
27.393964052200317,55.93
27.527495861053467,55.82
27.676040649414062,67.33
27.810436487197876,66.44
27.938891887664795,66.54
28.070213556289673,54.83
28.199925899505615,55.62
28.330844163894653,56.03
28.464046478271484,66.93
28.634820699691772,66.73
28.76313281059265,54.94
28.93078374862671,54.93
29.082114934921265,55.53
29.21432638168335,56.03
29.347805738449097,66.33
29.485745906829834,66.54
29.619089365005493,55.03
29.749570846557617,55.22
29.879161596298218,56.03
30.02841067314148,55.72
30.177930116653442,66.73
30.332266330718994,67.31
30.490984201431274,55.03
30.638766288757324,54.93
30.771252870559692,56.51
30.902079820632935,56.03
31.03544783592224,67.52
31.168203353881836,66.44
31.342595100402832,54.83
31.506596326828003,55.03
31.637645721435547,55.92
31.769531726837158,65.26
31.9063241481781,67.81
32.04126739501953,67.4
32.17184019088745,55.03
32.30495023727417,54.93
32.45477366447449,55.23
32.606627464294434,56.32
32.77912354469299,67.4
32.92890810966492,56.8
33.05739641189575,55.13
33.18740272521973,54.85
33.31647992134094,56.03
33.448113679885864,56.01
33.60005497932434,67.5
33.73116183280945,66.83
33.89866638183594,54.94
34.06643557548523,55.14
34.19787812232971,56.03
34.33293128013611,171.87
34.515862703323364,67.4
34.671372175216675,56.12
34.80371165275574,54.94
34.935240268707275,55.92
35.09190917015076,178.11
35.245208978652954,67.31
35.396953105926514,66.44
35.543081760406494,55.14
35.6742308139801,55.23
35.80799436569214,56.03
35.941476583480835,56.21
36.08100652694702,67.81
36.21659231185913,66.54
36.353583574295044,55.43
36.49875593185425,55.33
36.62814378738403,56.12
36.768144369125366,56.32
36.907973766326904,67.5
37.04190993309021,66.44
37.172096490859985,55.72
37.30297660827637,55.43
37.43422555923462,55.83
37.566232681274414,56.03
37.72295808792114,67.42
37.875422954559326,67.12
38.00429391860962,56.32
38.135767221450806,54.94
38.26542019844055,56.11
38.39632868766785,56.51
38.52786326408386,64.76
38.66488862037659,66.54
38.79900121688843,55.53
38.94280004501343,55.12
39.070767402648926,56.12
39.24059200286865,56.22
39.371121406555176,58.29
39.51191830635071,66.54
39.64649558067322,66.44
39.77234673500061,55.03
39.90322399139404,56.22
40.03419256210327,142.29
40.182677030563354,59.47
40.37184166908264,66.54
40.503671646118164,66.44
40.63279700279236,56.32
