Time (s),SM Clock (MHz),DRAM Active,FP16 Active,FP32 Active,FP64 Active,Power (W)
0.0,1155.0,0.277,0.0,0.047,0.0,158
0.823069810867338,1125.0,0.487,0.0,0.05,0.0,164
1.6500282287597372,1140.0,0.5,0.0,0.038,0.0,227
2.465068578720121,1125.0,0.511,0.0,0.034,0.0,204
3.2934062480926514,1110.0,0.467,0.0,0.051,0.0,210
4.118912696838379,1170.0,0.497,0.0,0.03,0.0,217
4.937326431274414,1170.0,0.518,0.0,0.04,0.0,220
5.761423349380522,1125.0,0.476,0.0,0.047,0.0,206
6.58677840232852,1155.0,0.498,0.0,0.026,0.0,182
7.400545358657837,1140.0,0.522,0.0,0.049,0.0,235
8.236109256744385,1140.0,0.454,0.0,0.043,0.0,207
9.05751347541812,1155.0,0.523,0.0,0.033,0.0,213
9.883981704711914,1110.0,0.476,0.0,0.049,0.0,248
10.71063780784607,1155.0,0.489,0.0,0.039,0.0,205
11.53326416015625,1185.0,0.505,0.0,0.033,0.0,231
12.371940135955839,1095.0,0.458,0.0,0.048,0.0,205
13.20915961265564,1305.0,0.511,0.0,0.028,0.0,203
14.02526569366455,1110.0,0.527,0.0,0.047,0.0,189
14.855019330978394,1140.0,0.467,0.0,0.045,0.0,201
15.685922145843506,1200.0,0.511,0.0,0.033,0.0,211
16.510937690734863,1095.0,0.481,0.0,0.052,0.0,157
17.338110208511353,1095.0,0.501,0.0,0.036,0.0,206
18.159996509552002,1095.0,0.509,0.0,0.035,0.0,205
18.98624897003174,1110.0,0.464,0.0,0.05,0.0,204
19.812816381454468,1125.0,0.51,0.0,0.029,0.0,203
20.63436484336856,1095.0,0.521,0.0,0.047,0.0,140
21.465148210525513,1110.0,0.462,0.0,0.044,0.0,216
22.286906003952026,1125.0,0.504,0.0,0.027,0.0,205
23.171668529510498,1095.0,0.457,0.0,0.048,0.0,200
24.000021934509306,1080.0,0.489,0.0,0.029,0.0,216
24.81972002983096,1200.0,0.515,0.0,0.039,0.0,211
25.645962953567505,1095.0,0.46,0.0,0.049,0.0,225
26.471166610717802,1095.0,0.512,0.0,0.03,0.0,207
27.289551258087158,1095.0,0.508,0.0,0.034,0.0,179
28.106529474258423,1095.0,0.458,0.0,0.053,0.0,207
28.92937469482422,1110.0,0.506,0.0,0.033,0.0,208
29.751526832580538,1170.0,0.509,0.0,0.037,0.0,210
30.5755558013916,1110.0,0.456,0.0,0.051,0.0,224
31.40444278717038,1125.0,0.528,0.0,0.033,0.0,213
32.228439807891846,1200.0,0.508,0.0,0.042,0.0,212
33.06039261817935,1080.0,0.456,0.0,0.048,0.0,207
33.88667607307434,1125.0,0.521,0.0,0.03,0.0,211
34.707966566085815,1155.0,0.522,0.0,0.048,0.0,200
35.547536849975586,1080.0,0.469,0.0,0.046,0.0,238
36.37524938583374,1230.0,0.509,0.0,0.027,0.0,206
37.19467639923096,1095.0,0.52,0.0,0.05,0.0,209
38.02008533477783,1110.0,0.471,0.0,0.043,0.0,208
38.84508204460144,1170.0,0.516,0.0,0.029,0.0,202
39.67418289184576,1095.0,0.452,0.0,0.052,0.0,171
40.5448112487793,1140.0,0.52,0.0,0.033,0.0,206
41.36655306816104,1140.0,0.505,0.0,0.036,0.0,196
42.18456935882571,1110.0,0.472,0.0,0.053,0.0,232
