Time (s),SM Clock (MHz),DRAM Active,FP16 Active,FP32 Active,FP64 Active,Power (W)
0.10026049613952637,795.0,0.0,0.0,0.0,0.0,47
0.8861637115478516,690.0,0.0,0.0,0.0,0.0,45
1.798846960067749,210.0,0.0,0.0,0.0,0.0,42
2.6529080867767334,210.0,0.0,0.0,0.0,0.0,42
3.503912925720215,750.0,0.0,0.0,0.0,0.0,45
4.351086854934692,750.0,0.0,0.0,0.0,0.0,45
5.179791450500488,1080.0,0.0,0.0,0.0,0.0,46
6.0087809562683105,1080.0,0.0,0.0,0.0,0.0,52
6.806290864944458,1080.0,0.0,0.0,0.0,0.0,52
7.6080427169799805,765.0,0.0,0.0,0.0,0.0,45
8.437441110610962,1155.0,0.095,0.0,0.003,0.0,162
9.259997367858887,1035.0,0.348,0.0,0.052,0.0,103
10.091774702072144,945.0,0.311,0.0,0.051,0.0,161
10.917123794555664,1170.0,0.354,0.0,0.054,0.0,189
11.74895977973938,1020.0,0.356,0.0,0.044,0.0,102
12.571324825286865,945.0,0.301,0.0,0.095,0.0,186
13.403844118118286,900.0,0.339,0.0,0.049,0.0,208
14.227276086807251,1020.0,0.338,0.0,0.053,0.0,176
15.05336308479309,990.0,0.285,0.0,0.053,0.0,193
15.83681607246399,930.0,0.33,0.0,0.054,0.0,182
16.662534952163696,960.0,0.343,0.0,0.051,0.0,103
17.489163160324097,840.0,0.305,0.0,0.051,0.0,163
18.313830614089966,1050.0,0.347,0.0,0.055,0.0,172
19.141961574554443,990.0,0.351,0.0,0.013,0.0,113
19.96449637413025,1095.0,0.31,0.0,0.08,0.0,181
20.800509929656982,960.0,0.341,0.0,0.051,0.0,202
21.62686252593994,915.0,0.305,0.0,0.052,0.0,211
22.41508460044861,1125.0,0.309,0.0,0.094,0.0,151
23.256250381469727,975.0,0.336,0.0,0.05,0.0,188
24.083629608154297,1020.0,0.326,0.0,0.052,0.0,100
24.902135133743286,945.0,0.348,0.0,0.054,0.0,162
25.73477077484131,990.0,0.312,0.0,0.052,0.0,183
26.570350408554077,1005.0,0.314,0.0,0.081,0.0,180
27.395743370056152,1005.0,0.348,0.0,0.016,0.0,196
28.224310159683228,1410.0,0.0,0.0,0.0,0.0,84
29.011924266815186,1410.0,0.001,0.0,0.0,0.0,84
29.794254541397095,1410.0,0.01,0.0,0.0,0.0,51
